aX,aY,aZ,gX,gY,gZ
0.060,0.876,0.370,-1.770,-0.427,-1.038
0.060,0.902,0.376,-2.502,-0.366,-1.282
0.069,0.907,0.375,-2.258,-0.732,-1.221
0.067,0.894,0.373,0.122,-1.526,-0.793
0.030,0.898,0.336,-6.836,10.620,-10.254
0.057,0.810,0.408,25.024,10.742,-9.033
0.031,0.806,0.358,52.673,5.737,-8.545
0.017,0.867,0.270,67.688,1.160,-12.268
0.012,0.986,0.278,66.956,2.197,-17.029
0.002,1.163,0.289,56.763,7.141,-20.081
0.065,1.148,0.250,50.354,16.785,-18.311
0.164,0.996,0.134,63.782,16.174,-11.108
0.106,0.953,0.031,77.454,18.127,0.549
0.156,0.930,0.214,58.594,31.433,12.146
0.355,0.832,0.213,40.527,29.785,13.611
0.483,0.792,0.445,28.992,18.616,9.338
0.125,0.875,0.478,24.780,2.258,10.437
-0.158,0.821,0.402,17.029,-4.822,14.282
-0.109,0.656,0.358,9.766,-6.042,8.545
0.033,0.890,0.439,-11.658,2.686,5.127
0.108,1.083,0.398,-21.790,0.061,2.686
0.028,0.974,0.370,-4.272,-4.700,4.089
-0.044,0.828,0.347,13.184,-3.845,4.883
-0.025,0.768,0.357,15.198,0.061,2.258
0.045,0.783,0.337,10.498,4.272,0.122
0.087,0.871,0.348,3.357,6.409,-3.662
0.099,0.902,0.355,0.183,6.042,-6.104
0.104,0.897,0.361,2.136,4.333,-5.188
0.109,0.872,0.368,3.479,2.014,-4.883
0.099,0.847,0.374,3.113,-0.183,-4.089
0.083,0.860,0.388,0.305,-1.099,-3.662
0.091,0.905,0.386,-3.052,-1.038,-3.235
0.089,0.914,0.356,-2.502,-1.892,-2.075
0.072,0.913,0.369,0.183,-1.404,-0.549
0.065,0.900,0.356,1.221,-0.793,0.366
0.068,0.904,0.353,0.122,-0.122,1.465
0.070,0.924,0.357,-0.916,-0.183,1.526
0.066,0.915,0.364,0.061,-0.977,1.343
0.066,0.897,0.373,2.197,-1.587,1.709
