aX,aY,aZ,gX,gY,gZ
0.571,-0.747,0.455,-35.156,-35.706,-1.343
0.560,-0.770,0.458,-32.349,-27.893,0.122
0.540,-0.737,0.384,-27.344,-18.677,2.258
0.551,-0.757,0.366,-29.053,-10.803,2.808
0.538,-0.734,0.313,-31.006,-4.272,2.686
0.555,-0.724,0.304,-34.363,1.221,2.502
0.575,-0.712,0.309,-38.574,1.709,1.343
0.594,-0.708,0.354,-42.358,-4.028,-0.610
0.595,-0.700,0.406,-44.434,-15.137,-3.052
0.580,-0.713,0.456,-42.603,-27.527,-4.333
0.738,-0.610,1.526,28.320,3.113,0.122
0.805,-0.599,1.737,38.879,9.460,-1.099
0.832,-0.586,1.911,53.955,14.465,-3.601
0.806,-0.617,2.003,76.050,23.621,-5.981
0.812,-0.611,1.993,101.074,35.828,-7.324
0.812,-0.578,1.958,121.582,43.762,-10.071
0.762,-0.500,1.929,139.404,50.293,-14.465
0.730,-0.531,1.859,154.236,51.880,-21.301
0.649,-0.499,1.698,167.542,49.988,-27.405
0.628,-0.423,1.630,178.589,42.236,-27.588
0.636,-0.342,1.624,187.500,28.198,-25.940
0.624,-0.255,1.551,201.416,15.930,-28.137
0.600,-0.237,1.408,214.722,11.597,-34.607
0.499,-0.259,1.236,230.408,19.348,-41.870
0.382,-0.305,0.958,247.864,38.269,-44.189
0.335,-0.326,0.563,261.536,66.528,-38.513
0.338,-0.189,0.130,270.020,97.107,-30.823
0.290,-0.112,-0.352,273.743,124.512,-29.236
0.169,-0.006,-0.963,273.254,147.095,-35.217
-0.070,0.045,-1.768,269.836,160.095,-46.875
-0.471,0.006,-2.716,263.062,151.062,-62.073
-0.891,-0.113,-3.403,239.380,111.328,-67.688
-1.210,-0.189,-3.807,204.834,58.899,-56.091
-1.162,-0.267,-3.833,157.593,9.155,-31.067
-0.853,-0.332,-3.099,93.811,-28.198,-0.427
-0.414,-0.331,-2.014,31.433,-34.424,30.518
0.070,-0.376,-1.003,-10.620,-13.367,53.528
0.518,-0.512,-0.273,-32.288,11.597,65.796
0.900,-0.636,0.228,-43.945,29.846,69.275
1.164,-0.728,0.524,-46.143,36.072,64.270
1.269,-0.804,0.614,-41.077,28.381,51.270
1.211,-0.887,0.505,-32.104,12.512,33.386
1.049,-0.955,0.281,-25.330,-2.258,16.357
0.843,-0.983,0.029,-25.574,-9.644,3.662
0.635,-0.990,-0.219,-31.616,-10.742,-3.174
0.484,-0.979,-0.420,-42.297,-10.315,-5.066
